feature_id,family,feature_name,plain_meaning,seller_hypothesis,raw_dependencies,formula_shape,output_type_units,valid_range,clipping_winsorization,asset_class_applicability,geo_normalization,market_comp_dependencies,time_behavior_decay,missing_handling,sentinel_handling,confidence_requirements,min_completeness,role,correlated_features,double_counting_risks,leakage_risks,explanation_text,verification_tests
F-125,portfolio_behavior,business_owner_indicator,normalized vendor tier: business_owner_indicator,business cash-flow stress can force asset sales (interaction with liens/UCC),business_owner + home_business + person_flags,"ordinal band, versioned domain mapping",log-count / winsorized ratio / rate,>=0,counts log1p + cap 100 (vendor cap); equity/balance winsorize p1/p99 + hard guard +/-1e9,all,none (owner-level),disposition velocity vs market velocity (IX-12),batch-dated; recomputed per snapshot,unknown stays unknown; never imputed to 0/false,registry #1-2 equity sentinels -> unknown; #5 blanket-loan guard flag; #3 term 999/0 -> unknown (family-relevant subset; see approval packet 3C),OD-11: versioned + coverage & vendor-drift evaluated + incremental-value tested before model entry,portfolio snapshot present,direct,landlord fatigue; owner_has_multiple_properties fallback,portfolio scale vs multiple-distressed-holdings (IX-13),none,normalized vendor tier: business_owner_indicator,T-13 drift; holdout incremental-value test (Phase 3)
F-126,portfolio_behavior,residence_duration,normalized vendor tier: residence_duration,duration modulates tenure features for owner-occupants,length_of_residence (years; 1 may mean <=1; cap 52),"ordinal band, versioned domain mapping",log-count / winsorized ratio / rate,>=0,counts log1p + cap 100 (vendor cap); equity/balance winsorize p1/p99 + hard guard +/-1e9,all,none (owner-level),disposition velocity vs market velocity (IX-12),batch-dated; recomputed per snapshot,unknown stays unknown; never imputed to 0/false,registry #1-2 equity sentinels -> unknown; #5 blanket-loan guard flag; #3 term 999/0 -> unknown (family-relevant subset; see approval packet 3C),OD-11: versioned + coverage & vendor-drift evaluated + incremental-value tested before model entry,portfolio snapshot present,contextual,landlord fatigue; owner_has_multiple_properties fallback,portfolio scale vs multiple-distressed-holdings (IX-13),none,normalized vendor tier: residence_duration,T-13 drift; holdout incremental-value test (Phase 3)
F-127,portfolio_behavior,portfolio_ownership_indicator,normalized vendor tier: portfolio_ownership_indicator,"multi-property owners behave as investors, not occupants",portfolio counts + owner_has_multiple_properties fallback,"ordinal band, versioned domain mapping",log-count / winsorized ratio / rate,>=0,counts log1p + cap 100 (vendor cap); equity/balance winsorize p1/p99 + hard guard +/-1e9,all,none (owner-level),disposition velocity vs market velocity (IX-12),batch-dated; recomputed per snapshot,unknown stays unknown; never imputed to 0/false,registry #1-2 equity sentinels -> unknown; #5 blanket-loan guard flag; #3 term 999/0 -> unknown (family-relevant subset; see approval packet 3C),OD-11: versioned + coverage & vendor-drift evaluated + incremental-value tested before model entry,portfolio snapshot present,direct,landlord fatigue; owner_has_multiple_properties fallback,portfolio scale vs multiple-distressed-holdings (IX-13),none,normalized vendor tier: portfolio_ownership_indicator,T-13 drift; holdout incremental-value test (Phase 3)
F-130,market_liquidity,value_percentile_in_cohort,property value percentile within its comparison cohort,price-band position drives liquidity and buyer pool,estimated_value; cohort stats (NORM §2),percentile,percentile / index,"[0,100]",cohort winsorize,all,cohort ladder is the feature (NORM §2),REQUIRES market_feature_snapshots (comp engine),batch-dated; recomputed per snapshot,unknown stays unknown; never imputed to 0/false,registry #1-2 equity sentinels -> unknown; #5 blanket-loan guard flag; #3 term 999/0 -> unknown (family-relevant subset; see approval packet 3C),cohort n >= minimums (NORM §4),cohort resolvable at metro or better,contextual,buyer_demand,liquidity vs demand overlap — demand is buyer-side only (IX-11),future comps must be as-of-filtered (T-10),property value percentile within its comparison cohort,T-11
F-131,financial_pressure,tax_burden_ratio,annual tax vs value and vs cohort,high relative tax burden pressures low-cash owners,TaxAmt; estimated_value; cohort medians,ratio + cohort percentile,ratio (dimensionless),"[0, ~2] typical",winsorize p1/p99 within cohort; blanket-loan guard excludes before winsorizing,all,ratios vs cohort medians (NORM §1/§2),estimated_value supersession by comp engine,batch-dated; recomputed per snapshot,unknown stays unknown; never imputed to 0/false,registry #1-2 equity sentinels -> unknown; #5 blanket-loan guard flag; #3 term 999/0 -> unknown (family-relevant subset; see approval packet 3C),valuation snapshot fresh <=180d,value + at least one debt component,direct,equity features are arithmetic complements of LTV,LTV vs thin-equity vs equity-$ — pick one per model via interaction matrix IX-01,none material,annual tax vs value and vs cohort,T-05 blanket-loan; T-01 sentinels; T-02 impossible values
F-132,physical_obsolescence,repair_ratio_normalized,repair class cost vs value vs renovated-comp spread,repair burden only matters relative to value and local rehab economics,condition/systems classes; comp spreads,ratio class,ordinal distance / years / class,per feature,effective-age cap 150y,all,vs neighborhood/cohort norms (NORM §2),renovated-comp spread for repair headroom,batch-dated; recomputed per snapshot,unknown stays unknown; never imputed to 0/false,registry #1-2 equity sentinels -> unknown; #5 blanket-loan guard flag; #3 term 999/0 -> unknown (family-relevant subset; see approval packet 3C),assessor data vintage known,condition OR age present,contextual,property_distress condition grade; discount headroom,condition feeds both distress and repair-burden — split: state vs cost (IX-04),none,repair class cost vs value vs renovated-comp spread,T-02; T-12 asset routing
F-133,seller_propensity,holding_period_appreciation,"estimated appreciation since acquisition (basis vs value, qualifier-gated)",large embedded gain + life-stage/portfolio context -> willing seller at discount from retail,transactions[current] price+qualifier; estimated_value; cohort appreciation,"ratio, qualifier-gated",score component / ordinal class,family-specific,event recency capped at 10y lookback,all,event base rates per county cohort (NORM §2),none direct; market context via interactions,batch-dated; recomputed per snapshot,unknown stays unknown; never imputed to 0/false,registry #1-2 equity sentinels -> unknown; #5 blanket-loan guard flag; #3 term 999/0 -> unknown (family-relevant subset; see approval packet 3C),link tier >= medium for person-sourced deps,>=1 dated evidence item,direct,other propensity evidence features,life-event evidence also appears in ownership_complexity — count once via interaction matrix IX-14,uses acquisition-time price only (no future info),"estimated appreciation since acquisition (basis vs value, qualifier-gated)",T-06 price-qualifier gating
F-134,seller_propensity,cash_purchase_indicator,acquired without recorded purchase-money loan,cash buyers with low basis have flexible exits (IX-09 context),transactions[current]; absence of concurrent loan at acquisition,boolean with absence-of-evidence caveat,score component / ordinal class,family-specific,event recency capped at 10y lookback,all,event base rates per county cohort (NORM §2),none direct; market context via interactions,batch-dated; recomputed per snapshot,loan absence is weak evidence where mortgage coverage is thin,registry #1-2 equity sentinels -> unknown; #5 blanket-loan guard flag; #3 term 999/0 -> unknown (family-relevant subset; see approval packet 3C),link tier >= medium for person-sourced deps,>=1 dated evidence item,contextual,other propensity evidence features,life-event evidence also appears in ownership_complexity — count once via interaction matrix IX-14,MLS-listed-now and recently_sold are near-outcome states: excluded from propensity inputs for the horizon models (T-10),acquired without recorded purchase-money loan,T-10 leakage; T-08 duplicate-signal
F-135,legal_title_pressure,release_recency_positive,recent satisfaction/release of a prior lien,resolved distress = owner just cleaned title; mild sell-prep signal,lien episodes closed by release; release dates,boolean with 24m decay,class-weighted count / ratio,>=0,per-episode amount ratio capped at 1.0 of value,all,lien base rates per county (recording practice varies),amounts relative to value (NORM §1),batch-dated; recomputed per snapshot,unknown stays unknown; never imputed to 0/false,registry #1-2 equity sentinels -> unknown; #5 blanket-loan guard flag; #3 term 999/0 -> unknown (family-relevant subset; see approval packet 3C),owner-side party match required (dedup §12),doc type + date present,contextual,foreclosure urgency (LIS overlaps stage ladder),must NOT also count as open-lien pressure (T-04),none,recent satisfaction/release of a prior lien,T-03 duplicate episodes; T-04 release netting
F-136,foreclosure_urgency,episode_resolution_recency,foreclosure episode recently resolved without transfer,near-miss foreclosure predicts renewed distress,closed foreclosure episodes; resolution evidence,recency decay 36m,ordinal stage / days,stage 0-4; days>=0,days-to-auction floor 0,all,judicial vs non-judicial state timelines (NORM §3),default depth vs value/equity,batch-dated; recomputed per snapshot,unknown stays unknown; never imputed to 0/false,registry #1-2 equity sentinels -> unknown; #5 blanket-loan guard flag; #3 term 999/0 -> unknown (family-relevant subset; see approval packet 3C),event payload present (1% coverage: absence = strong negative in covered lists),document_type + one date,contextual,"legal_title_pressure (LIS), property_distress (bank_owned)",preforeclosure flags corroborate but never add to the stage score (IX-02),episode resolution dates must be as-of-guarded (T-10),foreclosure episode recently resolved without transfer,T-10
F-137,property_distress,deferred_maintenance_proxy,condition below cohort + age gap + municipal/utility liens combined state,visible neglect proxies owner disengagement,condition grade; effective-age gap; LENUTL/LENSWR episodes,composite class,boolean / years / ratio,per feature,tax-years-delinquent cap 15,all,tax-rate & municipal-lien practice per county,amounts vs value,batch-dated; recomputed per snapshot,unknown stays unknown; never imputed to 0/false,registry #1-2 equity sentinels -> unknown; #5 blanket-loan guard flag; #3 term 999/0 -> unknown (family-relevant subset; see approval packet 3C),cross-source agreement raises tier (flag+scalar+doc),one affirmative signal,direct,foreclosure urgency; landlord fatigue (vacancy),components also exist standalone — IX-04 arbitrates,none,condition below cohort + age gap + municipal/utility liens combined state,T-09 missing-vs-zero; T-14
